index,name,score,type,stars,time,thumb,country,runtime,company,first_week_box_office,total_box_office
1,摔跤吧！爸爸,9.8,喜剧／动作／传记／剧情,阿米尔·汗／沙克希·坦沃／法缇玛·萨那·纱卡,2017-05-05,https://p0.pipi.cn/mmdb/d2dad592e7a0e1537c3139c28ec3b5def86ae.jpg?imageView2/1/w/218/h/300,印度 ,140,阿米尔汗影业,8685,129932
2,我和我的祖国,9.7,剧情,黄渤／张译／韩昊霖,2019-09-30,https://p0.pipi.cn/mmdb/d2dad59253780721f0cbae1df3d91a1758279.jpg?imageView2/1/w/218/h/300,中国大陆 ,155,华夏电影发行有限责任公司,208690,317003
3,战狼2,9.7,动作／战争,吴京／弗兰克·格里罗／吴刚,2017-07-27 20:01,https://p0.pipi.cn/mmdb/d2dad5927e10fa030c9ab4d621639c3bad00e.jpg?imageView2/1/w/218/h/300,中国大陆 ,123,北京登峰国际文化传播有限公司,99680,569454
4,坂本龙一：杰作,9.7,纪录片／音乐,坂本龙一,2024-05-31,https://p0.pipi.cn/mmdb/54ecde870fa2ff71f7c9fdc44debb48c986aa.jpg?imageView2/1/w/218/h/300,"日本,美国 ",103,日本KAB公司,35,229
5,泳者之心,9.7,剧情／传记,黛茜·雷德利／蒂尔达·格哈姆-哈维／斯蒂芬·格拉汉姆,2024-05-31,https://p0.pipi.cn/mmdb/54ecde87f2a51bf0ee339ed8187113cdb72b5.jpg?imageView2/1/w/218/h/300,美国 ,130,美国迪士尼影片公司,19,64
6,长津湖之水门桥,9.6,剧情／历史／战争,吴京／易烊千玺／朱亚文,2022-02-01 08:00,https://p0.pipi.cn/mmdb/25bfd6be9abc7e8d3311e5bd9b6d287be0f28.png?imageView2/1/w/218/h/300,中国大陆 ,149,北京博纳影业集团有限公司,253385,406745
7,志愿军：雄兵出击,9.6,剧情／历史／战争,唐国强／王砚辉／刘劲,2023-09-28 18:00,https://p0.pipi.cn/mmdb/54ecde8dbe12ff7e12b12d22326e238c80c56.jpg?imageView2/1/w/218/h/300,中国大陆 ,140,中影创意（北京）电影有限公司,25108,86889
8,速度与激情7,9.6,动作／惊悚／犯罪,范·迪塞尔／保罗·沃克／道恩·强森,2015-04-12,https://p0.pipi.cn/mmdb/d2dad592b125bf21f08d330ce2e1be71cd73e.webp?imageView2/1/w/218/h/300,美国 ,138,One Race Productions,39831,242313
9,泰勒·斯威夫特：时代巡回演唱会,9.6,音乐／纪录片,泰勒·斯威夫特／阿曼达·巴伦／泰勒·班克斯,2023-12-31 13:13,https://p0.pipi.cn/mmdb/fb73862f3380fa5bf102ffa28b06bbabd0a63.jpg?imageView2/1/w/218/h/300,美国 ,169,美国泰勒·斯威夫特制作公司,4011,10116
10,哪吒之魔童降世,9.6,动画,吕艳婷／囧森瑟夫／瀚墨,2019-07-26,https://p0.pipi.cn/mmdb/d2dad592537923f0ee07acada3ac59b9f3ffb.jpg?imageView2/1/w/218/h/300,中国大陆 ,110,霍尔果斯可可豆动画影视有限公司(摄制),66507,503570
11,我不是药神,9.6,剧情／喜剧,徐峥／王传君／周一围,2018-07-05,https://p0.pipi.cn/mmdb/54ecde9a2c9f2a51ba06d67d795a9434b8421.jpg?imageView2/1/w/218/h/300,中国大陆 ,117,霍尔果斯坏猴子影视文化传播有限公司,123812,310002
12,年会不能停！,9.6,喜剧／剧情,大鹏／白客／庄达菲,2023-12-29 12:00,https://p0.pipi.cn/mmdb/54ecde9a8ea3380e13af335ee55e9f649757c.jpg?imageView2/1/w/218/h/300,中国大陆 ,117,北京嘉映春天影业有限公司,18583,129262
13,泰坦尼克号,9.6,剧情／爱情／灾难,莱昂纳多·迪卡普里奥／凯特·温丝莱特／比利·赞恩,1998-04-03,https://p0.pipi.cn/mmdb/fb73869af2a51b339e537c802afb40db7a7fe.jpg?imageView2/1/w/218/h/300,美国 ,194,美国光影风暴娱乐公司,暂无,136531
14,寻梦环游记,9.6,动作／动画／冒险,安东尼·冈萨雷斯／本杰明·布拉特／盖尔·加西亚·贝纳尔,2017-11-24,https://p0.pipi.cn/mmdb/d2dad5927e10fa5bf1c6965cde0f9caa906e5.jpg?imageView2/1/w/218/h/300,美国 ,105,华特迪士尼影业集团,11869,123008
15,1950他们正年轻,9.6,纪录片,薛英杰／叶发坤／雍卫太,2021-09-03,https://p0.pipi.cn/mmdb/d2dad5927a32ffe5bc1789164b0ff22e5f0ef.jpg?imageView2/1/w/218/h/300,中国大陆 ,98,五洲传播出版社,125,1088
16,大话西游之月光宝盒,9.6,喜剧／爱情／动作／奇幻,周星驰／莫文蔚／吴孟达,2014-10-24,https://p0.pipi.cn/mmdb/fb7386dd5bfc7e7e127a359ece231eac92260.jpg?imageView2/1/w/218/h/300,中国大陆 ,88,西安电影制片厂有限公司,596,1579
17,厉害了，我的国,9.6,纪录片,周扬,2018-03-02,https://p0.pipi.cn/mmdb/d2dad5925372ff2ff7b5351813437ecf52c82.jpg?imageView2/1/w/218/h/300,中国大陆 ,87,中央电视台,9299,48059
18,火力全开,9.6,音乐／纪录片,王力宏／撒贝宁／仲宗根 梨乃,2017-10-20,https://p0.pipi.cn/mmdb/d2dad5920308078077e5bcd11b1f99a34f43a.webp?imageView2/1/w/218/h/300,中国台湾 ,85,台湾美商宏声音乐有限公司台湾分公司,156,240
19,你好，李焕英,9.5,喜剧,贾玲／张小斐／沈腾,2021-02-12 08:00,https://p0.pipi.cn/mmdb/fb73869aecd92351ba71f7fbd06f84db82a66.jpg?imageView2/1/w/218/h/300,中国大陆 ,128,北京京西文化旅游股份有限公司,104971,541320
20,长津湖,9.5,剧情／历史／战争,吴京／易烊千玺／段奕宏,2021-09-30 09:30,https://p0.pipi.cn/mmdb/d2dad592b12f2a281eb535319dc595f6611ab.jpg?imageView2/1/w/218/h/300,中国大陆 ,176,北京博纳影业集团有限公司,152756,577534
21,飞驰人生2,9.5,喜剧／剧情,沈腾／范丞丞／尹正,2024-02-10 09:00,https://p0.pipi.cn/mmdb/54ecde8751bf2af2aa8ea3c3bcaaa289a9e9c.jpg?imageView2/1/w/218/h/300,中国大陆 ,121,上海亭东影业有限公司,74581,339852
22,奇迹·笨小孩,9.5,剧情,易烊千玺／田雨／陈哈琳,2022-02-01 08:00,https://p0.pipi.cn/mmdb/25bfd68de7adddddd2395b4c04f4737cd31fc.jpg?imageView2/1/w/218/h/300,中国大陆 ,106,坏猴子（上海）文化传播有限公司,66876,137934
23,穿过寒冬拥抱你,9.5,剧情／爱情,黄渤／贾玲／朱一龙,2021-12-31 18:00,https://p0.pipi.cn/mmdb/d2dad52f537339be12230f804bc324cfdd9a5.jpg?imageView2/1/w/218/h/300,中国大陆 ,124,中国电影股份有限公司,53275,93685
24,哈尔的移动城堡,9.5,爱情／奇幻／动画,木村拓哉／于适／倍赏千惠子,2024-04-30 17:00,https://p0.pipi.cn/mmdb/54ecde8771ff2a338f50c89f71e1dabc3f16b.jpg?imageView2/1/w/218/h/300,日本 ,119,日本吉卜力工作室,24,12055
25,长空之王,9.5,剧情／动作,王一博／胡军／于适,2023-04-28 09:00,https://p0.pipi.cn/mmdb/fb73868787a807cbae71f74de48b058b8a09d.jpg?imageView2/1/w/218/h/300,中国大陆 ,128,上海亭东影业有限公司,27881,85059
26,第二十条,9.5,喜剧／剧情／家庭,雷佳音／马丽／赵丽颖,2024-02-10 09:00,https://p0.pipi.cn/mmdb/54ecde8d2ff51b8d33300beb713232e1932ab.jpg?imageView2/1/w/218/h/300,中国大陆 ,141,北京光线影业有限公司,108,33115
27,八角笼中,9.5,剧情,王宝强／陈永胜／史彭元,2023-07-06 09:00,https://p0.pipi.cn/mmdb/fb73867106d8079257f2aa6c2aa3f22e9365a.jpg?imageView2/1/w/218/h/300,中国大陆 ,117,北京乐开花影业有限公司,49866,220739
28,我们一起摇太阳,9.5,剧情／爱情／家庭,彭昱畅／李庚希／徐帆,2024-03-30 10:00,https://p0.pipi.cn/mmdb/54ecde9a11ef2a57e20e1358a2321f27f7a8e.jpg?imageView2/1/w/218/h/300,中国大陆 ,129,联瑞（上海）影业有限公司,3031,27599
29,排球少年!! 垃圾场决战,9.5,动画／运动,村濑步／石川界人／日野聪,2024-06-15 09:00,https://p0.pipi.cn/mmdb/54ecde7133851bd7c3cf3e5cb08d9ad46ad38.jpg?imageView2/1/w/218/h/300,日本 ,85,日本东宝株式会社,3,6937
1,万里归途,9.5,剧情／战争,张译／王俊凯／殷桃,2022-09-30 18:00,https://p0.pipi.cn/mmdb/fb7386028ea51b537cc7ede21be60528efece.jpg?imageView2/1/w/218/h/300,中国大陆 ,137,上海华策电影有限公司,106,43333
2,我和我的父辈,9.5,剧情,吴京／章子怡／徐峥,2021-09-30 18:00,https://p0.pipi.cn/mmdb/d2dad5927a30fa0faf87a9eadef47cf9cbad5.jpg?imageView2/1/w/218/h/300,中国大陆 ,158,中国电影股份有限公司,57832,147725
3,我爱你！,9.5,剧情／爱情／家庭,倪大红／惠英红／梁家辉,2023-06-21 18:00,https://p0.pipi.cn/mmdb/fb738687ecd51b030c17898de6fe3629786bf.jpg?imageView2/1/w/218/h/300,中国大陆 ,117,联瑞（上海）影业有限公司,15574,42800
4,狙击手,9.5,剧情／战争／历史,陈永胜／章宇／刘奕铁,2022-02-01 08:00,https://p0.pipi.cn/mmdb/d2dad5927a302fd23651ba357a97181552c5d.jpg?imageView2/1/w/218/h/300,中国大陆 ,96,北京光线传媒股份有限公司,26301,60807
5,疯狂动物城,9.5,动画／动作／冒险,金妮弗·古德温／杰森·贝特曼／伊德瑞斯·艾尔巴,2016-03-04,https://p0.pipi.cn/mmdb/d2dad592b12f2a7e120faf4954319ee560065.webp?imageView2/1/w/218/h/300,美国 ,109,华特·迪士尼动画工作室,15517,153190
6,超能陆战队,9.5,动画／喜剧／动作,瑞恩·波特／斯科特·安第斯／T·J·米勒,2015-02-28,https://p0.pipi.cn/mmdb/d2dad592b125bf50c8af33dd1fb72c8917430.jpg?imageView2/1/w/218/h/300,美国 ,102,华特·迪士尼动画工作室,8545,52625
7,绿皮书,9.5,剧情／喜剧／传记,维果·莫腾森／马赫沙拉·阿里／琳达·卡德里尼,2019-03-01,https://p0.pipi.cn/mmdb/d2dad59253751b230f21f0818a5bfd4d8679c.jpg?imageView2/1/w/218/h/300,美国 ,130,美国参与者影片公司,11502,47872
8,带你去见我妈,9.5,爱情／家庭／喜剧,卢珊／郑鹏生／郑润奇,2022-01-07 09:00,https://p0.pipi.cn/mmdb/25bfd68dd7c0fac69667cbb85557bac5c7a05.jpg?imageView2/1/w/218/h/300,中国大陆 ,101,深圳市盗梦者文化传播有限公司,568,2374
9,我的父亲焦裕禄,9.5,剧情／传记,郭晓东／丁柳元／蒋易,2021-08-06,https://p0.pipi.cn/mmdb/d2dad5927a3be1395b87a9acb103312c77e81.jpg?imageView2/1/w/218/h/300,中国大陆 ,113,明德万国影业湖北有限公司,487,3458
10,绝杀慕尼黑,9.5,剧情／运动,弗拉基米尔·马什科夫／约翰·萨维奇／伊万·科列斯尼科夫,2019-06-13,https://p0.pipi.cn/mmdb/d2dad59253751bbe2a51baebf7357bc50bc09.jpg?imageView2/1/w/218/h/300,俄罗斯 ,121,俄罗斯尼基塔·米哈尔科夫特里特电影制片公司,1986,9181
